Codes,New_Code,Borough,Names,Population_and_Age_Age_structure_(percentage)__2013_Aged_015,Population_and_Age_Age_structure_(percentage)__2013_Aged_1664,Population_and_Age_Age_structure_(percentage)__2013_Aged_65+,Population_and_Age_Aged_015_2013,Population_and_Age_Aged_1664_2013,Population_and_Age_Aged_65+_2013,Population_and_Age_All_ages_2013,Population_and_Age_Mean_age_2013,Population_and_Age_Median_age_2013,Area_and_Density_Population_density_(persons_per_sq_km)_2013,Diversity_Ethnic_Group_5_groups__2011_Census_White,Diversity_Ethnic_Group_5_groups__2011_Census_Mixed,Diversity_Ethnic_Group_5_groups__2011_Census_Asian_or_Asian_British,Diversity_Ethnic_Group_5_groups__2011_Census_Black_or_Black_British,Diversity_Ethnic_Group_5_groups__2011_Census_Other,Births_and_deaths_Births_2013,Births_and_deaths_Deaths_2013,Births_and_deaths_Standardised_Mortality_Ratio_(SMR)_2013,Life_Expectancy_Life_expectancy_at_age_65_(all_persons)_20092013,House_Prices_Median_House_Price_2013,Household_Income_Mean_Modelled_Household_income_(£)_2012/13,"Crime_Burglary,_Burglary_In_A_Dwelling_(2014)_","Crime_Burglary,_Burglary_In_Other_Buildings_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Dwelling_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Motor_Vehicle_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Other_Building_(2014)_","Crime_Drugs,_Drug_Trafficking_(2014)_","Crime_Drugs,_Possession_Of_Drugs_(2014)_","Crime_Robbery,_Business_Property_(2014)_","Crime_Robbery,_Personal_Property_(2014)_","Crime_Sexual_Offences,_Rape_(2014)_","Crime_Theft_&_Handling,_Handling_Stolen_Goods_(2014)_","Crime_Theft_&_Handling,_Motor_Vehicle_Interference_&_Tampering_(2014)_","Crime_Theft_&_Handling,_Theft_From_Motor_Vehicle_(2014)_","Crime_Theft_&_Handling,_Theft_From_Shops_(2014)_","Crime_Theft_&_Handling,_Theft/Taking_Of_Motor_Vehicle_(2014)_","Crime_Theft_&_Handling,_Theft/Taking_Of_Pedal_Cycle_(2014)_","Crime_Violence_Against_The_Person,_Assault_With_Injury_(2014)_","Crime_Violence_Against_The_Person,_Common_Assault_(2014)_","Crime_Violence_Against_The_Person,_Harassment_(2014)_","Crime_Violence_Against_The_Person,_Offensive_Weapon_(2014)_","Crime_Violence_Against_The_Person,_Wounding/GBH_(2014)_",Crime_Total_crime_rate_2013/14,Crime_Total_crime_(numbers)_2013/14
00AA,E09000001,City of London,City of London,7.5,77.5,15,650,6200,1150,8000,41.3,39,2406.25,5799,289,940,193,154,71,27,45.7,24.93011407,615000,99390,0,1,0,1,1,0,2,0,1,0,0,0,1,4,0,6,3,3,1,0,2,680.7206306,5441
00ABFX,E05000026,Barking and Dagenham,Abbey,25.27472527,69.96336996,5.128205128,3500,9600,700,13800,29.51057291,29,10500,3596,585,5619,2621,365,332,27,67.2,21.05961357,150000,38870,49,38,24,54,23,6,142,3,60,11,12,10,69,267,27,33,139,188,147,9,74,142.2128464,1960
00ABFY,E05000027,Barking and Dagenham,Alibon,25.96153846,63.46153846,10.57692308,2750,6700,1100,10550,33.82596154,33,7428.571429,7275,362,743,1900,105,204,73,119.3,18.77478583,174000,37290,70,10,30,40,6,1,60,2,25,8,2,9,25,34,26,10,76,74,86,3,31,75.6896058,793
00ABFZ,E05000028,Barking and Dagenham,Becontree,24.89626556,66.39004149,9.128630705,3100,7950,1100,12150,33.01416971,32,9269.230769,6789,524,2009,2048,175,288,72,106.9,18.15728981,180000,37860,97,47,24,40,7,6,39,1,30,3,5,7,52,25,47,14,76,78,110,3,51,79.32573128,960
00ABGA,E05000029,Barking and Dagenham,Chadwell Heath,24.13793103,60.591133,15.27093596,2500,6250,1550,10250,36.24556912,34,2985.294118,6224,473,1560,1593,171,162,98,101.4,19.52597516,205000,38860,91,33,29,33,7,6,28,1,26,7,1,9,64,23,37,5,68,68,70,2,24,72.40704501,740
00ABGB,E05000030,Barking and Dagenham,Eastbrook,20.28301887,65.09433962,14.62264151,2200,6950,1550,10700,37.68606403,36,3028.571429,7904,331,766,1451,54,161,99,108.2,18.03017874,204000,42780,73,27,13,42,8,3,34,1,14,6,1,12,41,11,36,6,64,60,64,1,33,58.30985915,623
00ABGC,E05000031,Barking and Dagenham,Eastbury,25.64102564,64.52991453,9.829059829,3050,7600,1150,11800,33.3872097,32,8357.142857,6776,545,1826,2270,207,241,50,74.9,21.18759529,189995,37720,94,28,30,54,8,3,29,2,16,7,2,12,109,4,48,11,77,76,85,1,39,71.18557578,838
00ABGD,E05000032,Barking and Dagenham,Gascoigne,31.67259786,62.63345196,5.693950178,4550,8800,800,14150,28.97782989,29,12772.72727,4931,682,2574,3882,383,325,60,118.7,18.21952289,162000,34140,54,37,30,41,17,11,73,0,27,6,3,12,98,26,35,15,91,75,80,2,30,89.78810857,1268
00ABGE,E05000033,Barking and Dagenham,Goresbrook,25.66371681,63.27433628,10.61946903,3000,7200,1200,11400,34.12867257,33,8692.307692,7517,467,829,2344,110,224,72,96.3,19.30645343,172500,38130,95,18,34,70,10,5,27,0,20,7,1,15,64,10,52,11,97,67,62,8,36,77.30234196,880
00ABGF,E05000034,Barking and Dagenham,Heath,25.57077626,62.55707763,11.87214612,2900,6800,1300,11000,34.4412597,32,5475,7304,364,711,2324,83,221,102,115.5,17.41194438,168500,36080,81,22,25,51,6,5,28,5,27,12,4,4,49,32,48,26,74,71,70,3,36,83.10502283,912
