neighbourhood,The police in your area treat everyone fairly regardless of who they are,The police in your area listen to the concerns of local people,"Taking everything into account, how good a job do you think the police in your area are doing?",How confident are you that the police in your area use their stop and search powers fairly?,The police in your area treat everyone fairly regardless of who they are,The police in your area listen to the concerns of local people,"Taking everything into account, how good a job do you think the police in your area are doing?",How confident are you that the police in your area use their stop and search powers fairly?,The police in your area treat everyone fairly regardless of who they are,The police in your area listen to the concerns of local people,"Taking everything into account, how good a job do you think the police in your area are doing?",How confident are you that the police in your area use their stop and search powers fairly?
,White British,White British,White British,White British,Asian,Asian,Asian,Asian,Black,Black,Black,Black
,% Strongly agree/Tend to agree,% Strongly agree/Tend to agree,% Excellent/Good,% Very confident/Fairly confident,% Strongly agree/Tend to agree,% Strongly agree/Tend to agree,% Excellent/Good,% Very confident/Fairly confident,% Strongly agree/Tend to agree,% Strongly agree/Tend to agree,% Excellent/Good,% Very confident/Fairly confident
Barking and Dagenham - Barking,84,69,56,83,75,75,64,81,78,76,66,67
Barking and Dagenham - Dagenham,80,72,57,85,78,65,59,74,74,77,72,60
Barking and Dagenham - Whalebone,77,68,61,83,81,77,66,79,74,68,61,65
Barnet - Barnet,75,67,59,82,77,70,59,80,71,63,75,64
Barnet - Colindale,76,69,59,82,83,73,66,84,77,78,70,63
Barnet - Golders Green,82,78,63,84,83,82,79,81,67,68,53,71
Barnet - Whetstone,72,72,58,79,86,74,61,76,47,59,41,43
Bexley - Central,83,78,71,88,91,78,85,92,85,74,66,62
Bexley - North,83,75,64,86,91,81,70,88,67,66,60,64
Bexley - South,,,,,,,,,,,,
Brent - Harlsden,61,61,55,71,82,69,62,77,52,57,52,45
Brent - Kilburn,64,63,57,77,76,68,59,78,66,65,58,60
Brent - Wembley,73,65,63,88,79,71,62,83,62,63,53,51
Bromley - North-East,79,69,68,85,76,91,70,77,53,70,53,57
Bromley - North-West,79,74,72,88,83,72,73,85,59,61,49,68
Bromley - South-East,82,75,66,90,80,73,66,70,48,56,50,54
Bromley - South-West,,,,,,,,,,,,
Camden - Central,65,70,57,65,71,70,52,67,64,58,46,32
Camden - North,66,72,59,64,84,88,69,73,58,71,59,44
Camden - South,68,74,59,66,80,79,68,75,58,74,65,49
Croydon - Central,73,74,61,71,75,66,58,81,53,60,53,47
Croydon - North-East,71,67,55,75,79,67,60,73,64,68,50,55
Croydon - North-West,58,70,43,73,81,68,54,78,50,55,46,44
Croydon - South-East,80,74,60,85,56,63,50,67,72,68,68,59
Croydon - South-West,82,72,64,87,81,73,58,80,57,71,57,45
Ealing - Acton,72,70,62,74,82,68,74,81,74,71,70,68
Ealing - Ealing,73,70,59,75,85,79,72,73,53,61,66,51
Ealing - Greenford/Northolt,81,72,58,81,82,69,62,86,64,65,50,47
Ealing - Southall,78,70,60,91,84,77,56,79,76,70,62,58
Enfield - Edmonton & South,62,59,46,74,77,68,60,75,56,57,51,49
Enfield - Enfield & North,70,55,49,78,80,61,52,64,61,63,51,47
Enfield - Southgate & West,74,62,58,77,76,56,57,73,61,62,53,46
Greenwich - Eltham,81,74,63,84,82,77,68,85,74,74,45,72
Greenwich - Greenwich,79,74,63,80,82,68,65,76,56,75,64,52
Greenwich - Plumstead,79,74,58,74,82,80,69,84,68,70,63,68
Hackney - Hackney North-East,60,70,60,64,71,76,67,69,49,54,46,38
Hackney - Homerton,64,70,53,61,65,67,47,67,50,63,53,42
Hackney - Shoreditch,50,58,54,57,70,68,61,71,53,67,53,46
Hackney - Stoke Newington,56,63,59,56,67,76,55,80,40,64,38,41
Hammersmith and Fulham - North Hammersmith,72,77,67,77,87,80,69,81,68,70,65,64
Hammersmith and Fulham - South Fulham,78,76,71,84,84,79,76,86,66,75,68,55
Haringey - East,60,60,45,67,76,76,55,67,57,62,52,51
Haringey - North,62,62,48,68,80,82,59,67,58,54,42,37
Haringey - West,61,65,54,59,68,55,63,72,62,72,54,50
Harrow - Central,75,60,52,79,80,68,57,83,63,63,57,62
