Neighbourhood,Code,Group,Taking everything into account how good a job do you think the police in your area are doing?,The police are dealing with the things that matter to this community,The police can be relied upon to be there when needed,The police treat everyone fairly regardless of who they are,The police listen to the concerns of local people,I feel well informed about local police activities over the last 12 months,How to contact their local SNT or ward officer,The police would treat you with respect if you had contact with them for any reason,How well do you think the police tackle gun crime?,How well do you think the police tackle drug dealing and drug use?,Are gangs a problem in this area?,Are you worried about ASB in this area?,Are you worried about crime in this area?,How safe do you feel walking alone in this area after dark?,How well do you think the Metropolitan Police provide a visible patrolling presence,Are you satisfied with your life as a whole nowadays?,The police in this area are friendly and approachable,The police in this area understand the issues that affect this community,Total Notifiable Offences rate
,,,% Excellent or Good,% Strongly Agree or Tend to agree,% Strongly Agree or Tend to agree,% Strongly Agree or Tend to agree,% Strongly Agree or Tend to agree,% Very or Fairly informed,% Yes,% Strongly Agree or Tend to agree,% Well to some extent,% Well to some extent,% Not a problem or dont know,% Not very or not at all worried,% Not very or not at all worried,% Safe,% Well to some extent,% Satisfied,% Strongly Agree or Tend to agree,% Strongly Agree or Tend to agree,
Barking and Dagenham - Barking,KG-KB,Group 7,71,72,75,79,70,44,29,87,65,60,81,73,64,70,57,79,84,76,N/A
Barking and Dagenham - Dagenham,KG-KR,Group 9,66,74,75,78,78,45,32,88,68,65,83,72,62,65,60,80,89,82,N/A
Barking and Dagenham - Whalebone,KG-KK,Group 9,67,71,72,74,71,47,37,88,68,59,85,67,58,68,54,71,83,76,N/A
Barnet - Barnet,SX-SA,Group 4,72,66,77,81,78,41,37,95,65,64,92,84,66,85,56,81,89,75,N/A
Barnet - Colindale,SX-SC,Group 12,61,65,72,77,69,39,46,91,54,48,86,76,56,74,48,77,86,73,N/A
Barnet - Golders Green,SX-SG,Group 12,67,69,75,88,76,46,38,94,64,57,88,74,56,73,51,79,89,79,N/A
Barnet - Whetstone,SX-SK,Group 12,64,59,71,75,67,36,33,89,61,55,92,84,61,85,50,80,87,68,N/A
Bexley - Central,RY-RE,Group 8,76,78,83,84,82,58,33,92,75,71,85,78,65,78,58,90,93,85,N/A
Bexley - North,RY-RB,Group 9,67,74,78,77,74,46,28,90,69,65,84,72,63,75,54,77,86,79,N/A
Bexley - South,RY-RS,Group 8,74,79,79,82,84,57,39,93,74,68,90,85,73,82,51,83,92,84,N/A
Brent - Harlsden,QK-QH,Group 7,62,63,66,68,65,36,40,88,64,59,81,72,56,70,52,76,86,69,N/A
Brent - Kilburn,QK-QZ,Group 5,59,62,76,66,68,35,47,88,64,57,83,76,61,76,50,80,80,70,N/A
Brent - Wembley,QK-QD,Group 12,62,63,73,70,69,47,56,90,66,58,92,80,56,75,46,74,91,71,N/A
Bromley - North-East,PY-PR,Group 8,65,72,73,85,73,57,36,89,67,53,88,75,62,84,43,86,88,82,N/A
Bromley - North-West,PY-PG,Group 4,71,79,82,81,77,48,30,92,78,72,89,85,80,88,52,86,92,82,N/A
Bromley - South-East,PY-PN,Group 8,74,67,71,77,77,61,39,95,66,58,86,76,68,89,45,83,92,78,N/A
Bromley - South-West,PY-PE,Group 8,71,73,78,81,78,53,40,94,63,60,91,85,78,91,58,91,92,80,N/A
Camden - Central,EK-EZ,Group 11,65,73,82,75,77,46,54,91,73,60,73,76,70,87,56,85,90,81,N/A
Camden - North,EK-EH,Group 1,69,86,84,79,88,53,50,95,73,72,90,80,70,85,50,89,95,85,N/A
Camden - South,EK-ED,Group 11,71,82,81,68,81,46,45,91,72,67,81,80,73,91,59,86,87,84,N/A
Croydon - Central,ZD-ZX,Group 5,65,67,73,71,72,45,30,90,65,59,82,68,56,75,43,81,83,74,N/A
Croydon - North-East,ZD-ZN,Group 5,50,60,72,69,63,27,25,87,55,43,79,72,65,81,36,78,78,69,N/A
Croydon - North-West,ZD-ZY,Group 5,52,66,71,65,71,34,24,86,48,45,72,70,54,75,43,80,80,73,N/A
Croydon - South-East,ZD-ZA,Group 8,60,80,79,80,82,56,22,91,78,70,83,83,71,82,56,85,95,82,N/A
Croydon - South-West,ZD-ZK,Group 9,67,71,74,76,78,50,34,92,65,63,96,84,73,90,41,88,89,83,N/A
Ealing - Acton,XB-XA,Group 1,69,73,79,76,71,54,42,95,74,62,94,83,64,85,48,85,87,75,N/A
Ealing - Ealing,XB-XD,Group 1,62,64,69,66,62,45,41,89,64,54,90,81,67,86,48,82,84,68,N/A
Ealing - Greenford/Northolt,XB-XG,Group 6,59,67,76,74,67,42,50,89,63,49,82,70,47,73,45,75,90,75,N/A
Ealing - Southall,XB-XS,Group 6,64,76,76,82,80,46,40,90,57,59,80,64,51,65,56,76,90,76,N/A
Enfield - Edmonton and South,YE-YP,Group 7,60,58,72,66,61,30,45,87,55,50,70,58,42,58,52,63,81,65,N/A
Enfield - Enfield and North,YE-YF,Group 9,56,60,69,76,65,40,36,88,60,53,80,70,50,61,48,75,85,69,N/A
Enfield - Southgate and West,YE-YS,Group 12,66,68,76,76,71,41,42,91,58,55,94,87,66,83,53,85,84,71,N/A
Greenwich - Eltham,RG-RM,Group 9,71,83,82,86,82,55,45,91,75,64,83,83,69,84,56,82,90,88,N/A
Greenwich - Greenwich,RG-RF,Group 1,71,75,75,75,77,45,39,86,71,63,84,81,66,84,46,81,87,81,N/A
Greenwich - Plumstead,RG-RW,Group 7,70,82,80,85,84,57,44,89,72,71,75,77,66,79,60,81,92,83,N/A
Hackney - Hackney North-East,GD-GS,Group 7,62,76,79,70,78,43,47,87,69,63,76,80,71,82,53,85,88,80,N/A
Hackney - Homerton,GD-GV,Group 10,67,78,76,75,80,44,53,88,64,58,68,79,62,86,53,81,90,80,N/A
Hackney - Shoreditch,GD-GX,Group 10,70,84,81,73,80,48,47,90,71,60,68,75,64,81,58,82,85,86,N/A
Hackney - Stoke Newington,GD-GL,Group 10,63,70,79,62,76,41,52,87,63,58,69,59,63,75,54,77,82,79,N/A
Hammersmith and Fulham - North Hammersmith,FH-FS,Group 11,77,78,83,78,82,47,30,91,78,66,88,84,77,88,66,89,92,82,N/A
Hammersmith and Fulham - South Fulham,FH-FF,Group 1,79,76,84,78,76,40,31,94,73,68,92,87,77,91,60,89,90,79,N/A
Haringey - East,YR-YT,Group 7,55,78,81,75,85,49,51,91,68,59,70,69,58,72,55,82,92,86,N/A
Haringey - North,YR-YD,Group 7,60,74,70,76,79,45,47,89,65,57,66,69,57,69,58,80,88,80,N/A
Haringey - West,YR-YM,Group 1,63,79,76,71,77,49,50,88,59,54,81,85,66,87,49,86,91,83,N/A
Harrow - Central,QA-QS,Group 12,60,54,71,75,64,39,41,92,64,57,90,77,59,78,50,79,86,66,N/A
Harrow - East,QA-QE,Group 12,62,66,71,79,67,43,42,92,63,59,96,80,55,75,51,85,89,68,N/A
Harrow - West,QA-QW,Group 12,63,67,73,81,66,47,48,92,60,53,95,85,62,81,53,83,92,76,N/A
Havering - Central,KD-KC,Group 8,74,74,82,81,75,49,37,90,70,66,92,86,62,81,55,83,86,76,N/A
Havering - North,KD-KL,Group 9,71,74,77,82,71,49,33,89,79,68,86,82,68,75,59,87,85,76,N/A
Havering - South,KD-KM,Group 8,70,71,74,83,76,46,44,93,70,60,91,83,61,85,60,86,88,79,N/A
Hillingdon - Hayes,XH-XY,Group 6,55,53,72,70,54,42,45,90,55,51,76,71,57,62,50,78,83,60,N/A
Hillingdon - North,XH-XR,Group 8,60,64,68,71,70,54,46,95,52,48,97,88,67,85,39,84,85,72,N/A
Hillingdon - Uxbridge,XH-XU,Group 12,66,68,73,76,68,44,48,91,71,65,90,85,70,79,47,81,83,75,N/A
Hillingdon - West Drayton,XH-XE,Group 6,57,61,59,69,58,41,49,88,65,44,81,70,56,71,49,77,86,69,N/A
Hounslow - Chiswick,TX-TC,Group 1,72,70,80,76,71,48,44,91,67,59,91,82,71,87,52,86,84,71,N/A
Hounslow - Feltham,TX-TF,Group 6,59,66,71,78,69,47,43,92,61,57,82,75,60,68,44,78,86,68,N/A
Hounslow - Heston,TX-TE,Group 6,60,70,76,85,73,55,40,93,63,56,84,74,55,70,50,80,83,77,N/A
Hounslow - Hounslow,TX-TD,Group 6,63,59,76,70,63,45,41,91,64,53,82,68,51,67,46,74,86,68,N/A
Islington - East,NI-NS,Group 11,68,79,82,74,80,45,36,91,68,63,77,80,71,86,54,83,89,88,N/A
Islington - North,NI-NN,Group 11,68,82,82,79,81,45,38,93,72,61,78,83,75,83,52,83,90,83,N/A
Islington - South,NI-NY,Group 11,71,74,74,73,68,46,39,86,72,65,77,84,72,88,61,89,86,74,N/A
Islington - West,NI-NV,Group 11,65,82,80,77,83,48,53,92,71,61,70,75,62,89,52,84,92,87,N/A
